item_id,stem,option_a,option_b,option_c,option_d,correct_answer,max_score,item_type
N01,Which number is the smallest? 305 350 503 530,305,350,503,530,A,1,MC
N02,"There are 48 apples. They are shared equally among 8 children. How many apples does each child get?",4,6,8,12,B,1,MC
N03,"What is 326 + 157?",473,483,517,583,B,1,MC
N04,Which shape has exactly 4 sides and 4 right angles?,Triangle,Rectangle,Pentagon,Hexagon,B,1,MC
N05,"Mia had $5.00 and spent $2.35. How much does she have left?",,$2.65,,,B,1,MC
N06,"What is the next number in the pattern? 3, 6, 9, 12, ___",13,14,15,16,C,1,MC
N07,Which of these is the same as one-quarter?,0.14,0.25,0.4,0.50,B,1,MC
N08,"A box has 3 red balls, 5 blue balls, and 2 green balls. What fraction of the balls are blue?",5/10,3/10,2/10,5/8,A,1,MC
N09,"Round 678 to the nearest hundred.",600,680,700,800,C,1,MC
N10,"What is 7 x 8?",48,54,56,64,C,1,MC
N11,"How many millimetres are in 3 centimetres?",3,30,300,3000,B,1,MC
N12,"A rectangle has a length of 6 cm and a width of 4 cm. What is its perimeter?",10,20,24,48,B,1,MC
N13,"Which number makes this number sentence true? ___ + 15 = 42",17,23,27,37,C,1,MC
N14,What time is shown on the clock? [Clock showing 2:35],2:25,2:30,2:35,2:45,C,1,MC
N15,"Sam has 3 bags with 12 marbles in each bag. How many marbles does Sam have altogether?",15,33,36,39,C,1,MC
N16,"What is 400 - 168?",232,242,268,332,A,1,MC
N17,"Which of these shapes is a triangular prism?",Shape A (cube),Shape B (triangular prism),Shape C (cylinder),Shape D (cone),B,1,MC
N18,"What is half of 356?",153,168,178,188,C,1,MC
N19,"A bag has 4 red counters and 6 blue counters. If one counter is chosen without looking, what is the probability it is red?",4/6,4/10,6/10,6/4,B,1,MC
N20,"Amir left home at 8:45 am and arrived at school at 9:20 am. How long did the trip take?",25 minutes,35 minutes,45 minutes,1 hour 5 minutes,B,1,MC
N21,"What is 5643 rounded to the nearest thousand?",5000,5600,5700,6000,D,1,MC
N22,"Which number is 1000 more than 4672?",4772,5572,5672,5772,C,1,MC
N23,A jug holds 1.5 litres. How many millilitres is that?,15,150,1050,1500,D,1,MC
N24,"How many lines of symmetry does a square have?",1,2,4,8,C,1,MC
N25,"Tom scored 87, 93, 76, and 84 on four tests. What is his total score?",330,340,350,360,B,1,MC
N26,"3/4 of a class of 24 students are girls. How many girls are in the class?",6,8,12,18,D,1,MC
N27,"Which number sentence is true?",3/5 > 4/5,2/3 > 3/4,1/2 > 2/5,1/3 > 1/2,C,1,MC
N28,"A square has a perimeter of 36 cm. What is the length of one side?",4 cm,6 cm,9 cm,12 cm,C,1,MC
N29,"What is the value of the 7 in 3712?",7,70,700,7000,C,1,MC
N30,Write the number that is 10 less than 4003.,,,,3993,1,SA
N31,"A shop sells pencils for 35 cents each. Jill buys 6 pencils. How much does she pay?",,$2.10,,,B,1,MC
N32,"Write these fractions in order from smallest to largest: 3/4, 1/2, 2/3.",,,,1/2 2/3 3/4,1,SA
N33,"A bus arrives every 15 minutes. The first bus arrives at 7:10 am. When does the third bus arrive?",7:25 am,7:30 am,7:40 am,7:45 am,C,1,MC
N34,"Write a number between 1 and 20 that is both odd and a multiple of 3.",,,,3 or 9 or 15,1,SA
N35,"A recipe needs 250 mL of milk. Tran wants to make 3 batches. How much milk does he need?",500 mL,650 mL,750 mL,1000 mL,C,1,MC
